Time,classroom,door_closed_on_arrival,windows_closed_on_arrival,persons_in_classroom,opened_windows_end_of_class,ac_on_during_class,during_class_door_state,during_class_window_state,ClassId,Humidity,Temperature,Particules 1,Particules 2.5,Particules 10,CO2,CO2_Velocity,CO2_Acceleration
2023-03-23 17:30:00,210.0,,,0.0,,,,,None,64.0,21.2,1.0,2.0,5.0,701.0,186.0,
2023-03-23 17:35:00,210.0,,,0.0,,,,,None,62.0,21.4,1.0,2.0,5.0,614.0,-87.0,-273.0
2023-03-23 17:40:00,210.0,,,0.0,,,,,None,62.0,21.7,1.0,2.0,5.0,515.0,-99.0,-12.0
2023-03-23 17:45:00,210.0,,,0.0,,,,,None,62.0,21.7,1.0,3.0,3.0,537.0,22.0,121.0
2023-03-23 17:50:00,210.0,,,0.0,,,,,None,62.0,21.6,1.0,3.0,3.0,478.0,-59.0,-81.0
2023-03-23 17:55:00,210.0,,,0.0,,,,,None,62.0,21.6,1.0,3.0,3.0,478.0,0.0,59.0
2023-03-23 18:00:00,210.0,,,0.0,,,,,None,62.0,21.5,1.0,3.0,6.0,435.0,-43.0,-43.0
2023-03-23 18:05:00,210.0,,,0.0,,,,,None,62.0,21.6,2.0,4.0,4.0,430.0,-5.0,38.0
2023-03-23 18:10:00,210.0,,,0.0,,,,,None,62.0,21.6,1.0,2.0,4.0,430.0,0.0,5.0
2023-03-23 18:15:00,210.0,,,0.0,,,,,None,61.0,21.7,1.0,2.0,2.0,419.0,-11.0,-11.0
2023-03-23 18:20:00,210.0,,,0.0,,,,,None,61.0,21.7,1.0,2.0,3.0,409.0,-10.0,1.0
2023-03-23 18:25:00,210.0,,,0.0,,,,,None,61.0,21.7,1.0,2.0,3.0,409.0,0.0,10.0
2023-03-23 18:30:00,210.0,,,0.0,,,,,None,61.0,21.7,1.0,3.0,4.0,406.0,-3.0,-3.0
2023-03-23 18:35:00,210.0,,,0.0,,,,,None,61.0,21.7,1.0,5.0,10.0,404.0,-2.0,1.0
2023-03-23 18:40:00,210.0,,,0.0,,,,,None,61.0,21.7,2.0,4.0,4.0,404.0,0.0,2.0
2023-03-23 18:45:00,210.0,,,0.0,,,,,None,61.0,21.7,1.0,2.0,2.0,401.0,-3.0,-3.0
2023-03-23 18:50:00,210.0,,,0.0,,,,,None,61.0,21.6,1.0,4.0,6.0,402.0,1.0,4.0
2023-03-23 18:55:00,210.0,,,0.0,,,,,None,61.0,21.6,1.0,3.0,3.0,402.0,0.0,-1.0
2023-03-23 19:00:00,210.0,,,0.0,,,,,None,61.0,21.6,2.0,3.0,6.0,402.0,0.0,0.0
2023-03-23 19:05:00,210.0,,,0.0,,,,,None,61.0,21.6,1.0,2.0,4.0,402.0,0.0,0.0
2023-03-23 19:10:00,210.0,,,0.0,,,,,None,61.0,21.6,2.0,4.0,4.0,402.0,0.0,0.0
2023-03-23 19:15:00,210.0,,,0.0,,,,,None,61.0,21.6,2.0,3.0,4.0,404.0,2.0,2.0
2023-03-23 19:20:00,210.0,,,0.0,,,,,None,61.0,21.4,2.0,3.0,3.0,402.0,-2.0,-4.0
2023-03-23 19:25:00,210.0,,,0.0,,,,,None,61.0,21.4,2.0,3.0,3.0,402.0,0.0,2.0
2023-03-23 19:30:00,210.0,,,0.0,,,,,None,61.0,21.4,1.0,2.0,3.0,400.0,-2.0,-2.0
2023-03-23 19:35:00,210.0,,,0.0,,,,,None,61.0,21.4,2.0,3.0,3.0,403.0,3.0,5.0
2023-03-23 19:40:00,210.0,,,0.0,,,,,None,61.0,21.4,2.0,4.0,5.0,403.0,0.0,-3.0
2023-03-23 19:45:00,210.0,,,0.0,,,,,None,61.0,21.4,2.0,3.0,4.0,402.0,-1.0,-1.0
2023-03-23 19:50:00,210.0,,,0.0,,,,,None,60.0,21.3,2.0,4.0,5.0,400.0,-2.0,-1.0
2023-03-23 19:55:00,210.0,,,0.0,,,,,None,60.0,21.3,1.0,3.0,6.0,400.0,0.0,2.0
2023-03-23 20:00:00,210.0,,,0.0,,,,,None,60.0,21.3,1.0,2.0,2.0,401.0,1.0,1.0
2023-03-23 20:05:00,210.0,,,0.0,,,,,None,60.0,21.4,2.0,4.0,7.0,401.0,0.0,-1.0
2023-03-23 20:10:00,210.0,,,0.0,,,,,None,60.0,21.4,2.0,4.0,4.0,401.0,0.0,0.0
2023-03-23 20:15:00,210.0,,,0.0,,,,,None,60.0,21.4,2.0,3.0,5.0,404.0,3.0,3.0
2023-03-23 20:20:00,210.0,,,0.0,,,,,None,60.0,21.3,3.0,4.0,4.0,401.0,-3.0,-6.0
2023-03-23 20:25:00,210.0,,,0.0,,,,,None,60.0,21.3,2.0,4.0,6.0,401.0,0.0,3.0
2023-03-23 20:30:00,210.0,,,0.0,,,,,None,60.0,21.3,2.0,4.0,6.0,401.0,0.0,0.0
2023-03-23 20:35:00,210.0,,,0.0,,,,,None,60.0,21.3,1.0,3.0,3.0,403.0,2.0,2.0
2023-03-23 20:40:00,210.0,,,0.0,,,,,None,60.0,21.3,2.0,4.0,8.0,403.0,0.0,-2.0
2023-03-23 20:45:00,210.0,,,0.0,,,,,None,60.0,21.2,2.0,2.0,4.0,400.0,-3.0,-3.0
2023-03-23 20:50:00,210.0,,,0.0,,,,,None,60.0,21.2,2.0,6.0,6.0,400.0,0.0,3.0
2023-03-23 20:55:00,210.0,,,0.0,,,,,None,60.0,21.2,2.0,3.0,9.0,400.0,0.0,0.0
2023-03-23 21:00:00,210.0,,,0.0,,,,,None,60.0,21.1,2.0,4.0,5.0,401.0,1.0,1.0
2023-03-23 21:05:00,210.0,,,0.0,,,,,None,60.0,21.1,2.0,5.0,6.0,402.0,1.0,0.0
2023-03-23 21:10:00,210.0,,,0.0,,,,,None,60.0,21.1,2.0,2.0,2.0,402.0,0.0,-1.0
2023-03-23 21:15:00,210.0,,,0.0,,,,,None,61.0,21.0,2.0,4.0,5.0,404.0,2.0,2.0
2023-03-23 21:20:00,210.0,,,0.0,,,,,None,61.0,21.0,2.0,3.0,3.0,402.0,-2.0,-4.0
2023-03-23 21:25:00,210.0,,,0.0,,,,,None,61.0,21.0,2.0,3.0,5.0,402.0,0.0,2.0
2023-03-23 21:30:00,210.0,,,0.0,,,,,None,61.0,21.0,2.0,4.0,7.0,400.0,-2.0,-2.0
2023-03-23 21:35:00,210.0,,,0.0,,,,,None,61.0,20.9,2.0,5.0,5.0,402.0,2.0,4.0
2023-03-23 21:40:00,210.0,,,0.0,,,,,None,61.0,20.9,1.0,2.0,4.0,402.0,0.0,-2.0
2023-03-23 21:45:00,210.0,,,0.0,,,,,None,61.0,20.9,2.0,3.0,5.0,404.0,2.0,2.0
2023-03-23 21:50:00,210.0,,,0.0,,,,,None,61.0,20.9,2.0,4.0,6.0,401.0,-3.0,-5.0
